name,name-en,category,tel,postalcode,address,lat,long,facility-type
品川区役所,Shinagawa City Office,区役所,03-3777-1111,140-0005,東京都品川区広町2-1-36,35.608837,139.73024,区役所
品川第一地域センター,Shinagawa Dai-ichi Community Ctr.,地域センター,03-3450-2000,140-0001,東京都品川区北品川3-11-16,35.616681,139.74008,地域センター
品川第二地域センター,Shinagawa Dai-ni Community Ctr.,地域センター,03-3472-2000,140-0004,東京都品川区南品川5-3-20,35.611373,139.74129,地域センター
大崎第一地域センター,Osaki Dai-ichi Community Ctr.,地域センター,03-3491-2000,141-0031,東京都品川区西五反田3-6-3,35.627776,139.71686,地域センター
大崎第二地域センター,Osaki Dai-ni Community Ctr.,地域センター,03-3492-2000,141-0032,東京都品川区大崎2-9-4,35.616945,139.72757,地域センター
大井第一地域センター,Oi Dai-ichi Community Ctr.,地域センター,03-3761-2000,140-0013,東京都品川区南大井1-12-6,35.596306,139.73759,地域センター
大井第二地域センター,Oi Dai-ni Community Ctr.,地域センター,03-3772-2000,140-0014,東京都品川区大井2-27-20,35.604091,139.73038,地域センター
大井第三地域センター,Oi Dai-san Community Ctr.,地域センター,03-3773-2000,140-0015,東京都品川区西大井4-1-8,35.597669,139.72108,地域センター
荏原第一地域センター,Ebara Dai-ichi Community Ctr.,地域センター,03-3786-2000,142-0062,東京都品川区小山3-22-3,35.619294,139.70569,地域センター
荏原第二地域センター,Ebara Dai-ni Community Ctr.,地域センター,03-3782-2000,142-0063,東京都品川区荏原6-17-12,35.611062,139.70442,地域センター
荏原第三地域センター,Ebara Dai-san Community Ctr.,地域センター,03-3783-2000,142-0051,東京都品川区平塚1-13-18,35.613392,139.71541,地域センター
荏原第四地域センター,Ebara Dai-yon Community Ctr.,地域センター,03-3784-2000,142-0053,東京都品川区中延5-3-12,35.60374,139.70836,地域センター
荏原第五地域センター,Ebara Dai-go Community Ctr.,地域センター,03-3785-2000,142-0043,東京都品川区二葉1-1-2,35.6082,139.72573,地域センター
八潮地域センター,Yashio Community Ctr.,地域センター,03-3799-2000,140-0003,東京都品川区八潮5-10-27,35.600153,139.75125,地域センター
東大井区民集会所,Higashi-oi Citizens' Meeting Room,集会所,03-3765-2411,140-0011,東京都品川区東大井2-16-12,35.600719,139.7417,集会所
荏原区民センター,Ebara Citizens' Ctr.,集会所,03-3788-7939,142-0063,東京都品川区荏原5-6-5,35.614536,139.70213,集会所
防災センター,Disaster Prevention Ctr.,防災センター,03-5742-9098,140-0005,東京都品川区広町2-1-36,35.608837,139.73024,防災センター
品川区環境情報活動センター,Environmental Information Service Ctr.,環境学習・活動,03-5742‐6533,140-0005,東京都品川区広町2-1-36,35.608837,139.73024,環境
台場在宅介護支援センター,Daiba In Home Long Term Care Support Ctr.,健康・福祉施設,03-5479-8593,140-0001,東京都品川区北品川3-11-16,35.616681,139.74008,在宅介護支援センター
東品川在宅介護支援センター,Higashi-shinagawa In Home Long Term Care Support Ctr.,健康・福祉施設,03-5479-2793,140-0002,東京都品川区東品川3-1-5,35.617173,139.74738,在宅介護支援センター
東品川第二在宅介護支援センター,Higashi-shinagawa Dai-ni in Home Long Term Care Support Ctr.,健康・福祉施設,03-5783-2656,140-0002,東京都品川区東品川3-27-25オフィス・イン品川3階,35.61129,139.74593,在宅介護支援センター
上大崎在宅介護支援センター,Kami-osaki In Home Long Term Care Support Ctr.,健康・福祉施設,03-3473-1831,141-0021,東京都品川区上大崎1-3-12,35.634598,139.72207,在宅介護支援センター
西五反田在宅介護支援センター,Nishi-gotanda In Home Long Term Care Support Ctr.,健康・福祉施設,03-5740-6115,141-0031,東京都品川区西五反田3-6-6,35.628118,139.71696,在宅介護支援センター
大崎在宅介護支援センター,Osaki In Home Long Term Care Support Ctr.,健康・福祉施設,03-3779-2981,141-0032,東京都品川区大崎2-11-1,35.635856,139.71536,在宅介護支援センター
南大井在宅介護支援センター,Minami-oi In Home Long Term Care Support Ctr.,健康・福祉施設,03-5753-3902,140-0013,東京都品川区南大井4-19-3,35.593234,139.73466,在宅介護支援センター
南大井第二在宅介護支援センター,Minami-oi Dai-ni In Home Long Term Care Support Ctr.,健康・福祉施設,03-5495-7083,140-0011,東京都品川区東大井4-9-1,35.6053,139.74033,在宅介護支援センター
八潮在宅介護支援センター,Yashio In Home Long Term Care Support Ctr.,健康・福祉施設,03-3790-0470,140-0003,東京都品川区八潮5-10-27,35.600153,139.75125,在宅介護支援センター
大井在宅介護支援センター,Oi In Home Long Term Care Support Ctr.,健康・福祉施設,03-5742-2723,140-0014,東京都品川区大井4-14-8,35.60188,139.73283,在宅介護支援センター
大井第二在宅介護支援センター,Oi Dai-ni In Home Long Term Care Support Ctr.,健康・福祉施設,03-5743-2943,140-0014,東京都品川区大井3-15-7,35.602366,139.72954,在宅介護支援センター
西大井在宅介護支援センター,Nishi-oi In Home Long Term Care Support Ctr.,健康・福祉施設,03-5743-6120,140-0015,東京都品川区西大井2-4-4,35.59993,139.72253,在宅介護支援センター
荏原在宅介護支援センター,Ebara In Home Long Term Care Support Ctr.,健康・福祉施設,03-5750-3704,142-0063,東京都品川区荏原2-9-6,35.617091,139.71111,在宅介護支援センター
小山台在宅介護支援センター,Koyamadai In Home Long Term Care Support Ctr.,健康・福祉施設,03-5794-8511,142-0061,東京都品川区小山台1-4-1りんし21 3階,35.624337,139.70447,在宅介護支援センター
小山在宅介護支援センター,Koyama In Home Long Term Care Support Ctr.,健康・福祉施設,03-5749-7288,142-0062,東京都品川区小山7-14-18,35.609006,139.69648,在宅介護支援センター
成幸在宅介護支援センター,Seiko In Home Long Term Care Support Ctr.,健康・福祉施設,03-3787-7493,142-0053,東京都品川区中延1-8-7,35.612084,139.71184,在宅介護支援センター
中延在宅介護支援センター,Nakanobu In Home Long Term Care Support Ctr.,健康・福祉施設,03-3787-2167,142-0053,東京都品川区中延6-8-8,35.601813,139.71119,在宅介護支援センター
大原在宅介護支援センター,Ohara In Home Long Term Care Support Ctr.,健康・福祉施設,03-5749-2531,142-0042,東京都品川区豊町6-25-13,35.603807,139.71361,在宅介護支援センター
戸越台在宅介護支援センター,Togoshi In Home Long Term Care Support Ctr.,健康・福祉施設,03-5750-1053,142-0041,東京都品川区戸越1-15-23,35.615706,139.71759,在宅介護支援センター
杜松在宅介護支援センター,Tosho In Home Long Term Care Support Ctr.,健康・福祉施設,03-5750-7707,142-0042,東京都品川区豊町4-24-15,35.606135,139.72276,在宅介護支援センター
成幸ホーム,Santoku-kai 'Seiko Home',健康・福祉施設,03-3787-3616,142-0053,東京都品川区中延1-8-7,35.612084,139.71184,特別養護老人ホーム
かえで荘,Shinagawa Consolidated Welfare Ctr. 'Kaede-so',健康・福祉施設,03-3790-4826,140-0003,東京都品川区八潮5-1-1,35.605155,139.75243,特別養護老人ホーム
晴楓ホーム,Fukuei-kai 'Seifu Home',健康・福祉施設,03-5479-2744,140-0002,東京都品川区東品川3-1-8,35.617256,139.74684,特別養護老人ホーム
戸越台特別養護老人ホーム,Togoshidai Intensive Care Home for the Elderly,健康・福祉施設,03-5750-1054,142-0041,東京都品川区戸越1-15-23,35.615706,139.71759,特別養護老人ホーム
荏原特別養護老人ホーム,Ebara Intensive Care Home for the Elderly,健康・福祉施設,03-5750-2941,142-0063,東京都品川区荏原2-9-6,35.617091,139.71111,特別養護老人ホーム
中延特別養護老人ホーム,Nakanobu Intensive Care Home for the Elderly,健康・福祉施設,03-3787-2951,142-0053,東京都品川区中延6-8-8,35.601813,139.71119,特別養護老人ホーム
ロイヤルサニー,Shunko-fukushi-kai 'Royal Sunny',健康・福祉施設,03-5743-6111,140-0015,東京都品川区西大井2-4-4,35.59993,139.72253,特別養護老人ホーム
八潮南特別養護老人ホーム,,健康・福祉施設,03-5755-9360,140-0003,東京都品川区八潮5-9-2,35.598721,139.75267,特別養護老人ホーム
杜松 特別養護老人ホーム,Tosho Intensive Care Home for the Elderly,健康・福祉施設,03-6426-8213,142-0042,東京都品川区豊町4-24-15,35.605987,139.72258,特別養護老人ホーム
ケアセンター南大井,"Sakura-kai ""Care Ctr. Minami-oi""",健康・福祉施設,03-5753-3901,140-0013,東京都品川区南大井5-19-1,35.594659,139.73398,老人保健施設
東海ホーム,Fukuei-kai 'Tokai Home',健康・福祉施設,03-5479-2944,140-0002,東京都品川区東品川3-1-8,35.617256,139.74684,軽費老人ホーム
さくらハイツ南大井,Sakura-kai 'Sakura Heights Minami-oi',健康・福祉施設,03-5753-3900,140-0013,東京都品川区南大井5-19-1,35.594659,139.73398,ケアハウス
さくらハイツ西五反田,Sakura-kai 'Sakura Heights Nishi-gotanda',健康・福祉施設,03-5434-7831,141-0031,東京都品川区西五反田3-6-6,35.628118,139.71696,ケアハウス
ケアホーム西五反田,Sakura-kai 'Care Home Nishi-gotanda',健康・福祉施設,03-5434-7831,141-0031,東京都品川区西五反田3-6-6,35.628118,139.71696,ケアハウス
ケアホーム東大井,Angel Help 'Care Home Higashi-oi',健康・福祉施設,03-5783-0753,140-0011,東京都品川区東大井5-8-12,35.607638,139.7379,ケアハウス
東品川シルバーセンター,Higashi-shinagawa Silver Center  (Senior Citizens' Ctr.),健康・福祉施設,03-3472-2944,140-0002,東京都品川区東品川3-32-10,35.614193,139.75075,シルバーセンター
北品川シルバーセンター,Kaka-shinagawa Silver Center (Senior Citizens' Ctr.),健康・福祉施設,03-3471-6507,140-0001,東京都品川区北品川1-29-12,35.620533,139.74177,シルバーセンター
南品川シルバーセンター,Minami-shinagawa Silver Center (Senior Citizens' Ctr.),健康・福祉施設,03-3471-7000,140-0004,東京都品川区南品川5-10-3,35.610215,139.73984,シルバーセンター
五反田シルバーセンター,Gotanda Silver Center (Senior Citizens' Ctr.),健康・福祉施設,03-3445-0296,141-0022,東京都品川区東五反田2-15-6,35.621933,139.72944,シルバーセンター
上大崎シルバーセンター,Kami-osaki Silver Center (Senior Citizens' Ctr.),健康・福祉施設,03-3449-1750,141-0021,東京都品川区上大崎1-3-12,35.634598,139.72207,シルバーセンター
西五反田シルバーセンター,Nishi-gotanda Silver Center (Senior Citizens' Ctr.),健康・福祉施設,03-3493-0076,141-0031,東京都品川区西五反田3-9-10,35.626535,139.71691,シルバーセンター
平塚シルバーセンター,Hiratsuka Silver Center (Senior Citizens' Ctr.),健康・福祉施設,03-3782-1369,142-0051,東京都品川区平塚2-10-20,35.616914,139.71396,シルバーセンター
後地シルバーセンター,Ushiroji Silver Center  (Senior Citizens' Ctr.),健康・福祉施設,03-3781-6506,142-0062,東京都品川区小山2-9-19,35.62063,139.7092,シルバーセンター
